ItemId,Date,Quantity
0,2021-06-22 00:00:00.0000000,3
0,2021-06-25 00:00:00.0000000,6
0,2021-06-29 00:00:00.0000000,9
0,2021-07-01 00:00:00.0000000,3
0,2021-07-02 00:00:00.0000000,3
0,2021-07-03 00:00:00.0000000,3
0,2021-07-04 00:00:00.0000000,3
0,2021-07-05 00:00:00.0000000,3
0,2021-07-06 00:00:00.0000000,3
0,2021-07-07 00:00:00.0000000,3
0,2021-07-08 00:00:00.0000000,3
0,2021-07-09 00:00:00.0000000,3
0,2021-07-10 00:00:00.0000000,3
0,2021-07-11 00:00:00.0000000,3
0,2021-07-12 00:00:00.0000000,3
0,2021-07-13 00:00:00.0000000,3
0,2021-07-14 00:00:00.0000000,3
0,2021-08-05 00:00:00.0000000,2
0,2021-08-06 00:00:00.0000000,2
0,2021-08-07 00:00:00.0000000,2
0,2021-08-09 00:00:00.0000000,2
0,2021-08-11 00:00:00.0000000,5
0,2021-08-12 00:00:00.0000000,5
0,2021-08-16 00:00:00.0000000,5
0,2021-08-17 00:00:00.0000000,5
0,2021-08-18 00:00:00.0000000,3
0,2021-08-19 00:00:00.0000000,3
0,2021-08-20 00:00:00.0000000,3
0,2021-08-21 00:00:00.0000000,3
0,2021-08-22 00:00:00.0000000,3
0,2021-08-23 00:00:00.0000000,3
0,2021-08-24 00:00:00.0000000,3
0,2021-08-25 00:00:00.0000000,3
0,2021-08-26 00:00:00.0000000,3
0,2021-08-27 00:00:00.0000000,3
0,2021-08-28 00:00:00.0000000,3
0,2021-08-29 00:00:00.0000000,3
0,2021-08-30 00:00:00.0000000,3
0,2021-08-31 00:00:00.0000000,3
0,2021-09-01 00:00:00.0000000,3
0,2021-09-02 00:00:00.0000000,3
0,2021-11-10 00:00:00.0000000,25
0,2021-11-11 00:00:00.0000000,27
0,2021-11-12 00:00:00.0000000,27
0,2021-11-13 00:00:00.0000000,27
0,2021-11-15 00:00:00.0000000,27
0,2021-11-16 00:00:00.0000000,25
0,2021-11-17 00:00:00.0000000,21
0,2021-11-18 00:00:00.0000000,21
0,2021-11-19 00:00:00.0000000,21
0,2021-11-20 00:00:00.0000000,22
0,2021-11-22 00:00:00.0000000,21
0,2021-11-23 00:00:00.0000000,21
0,2021-11-24 00:00:00.0000000,19
0,2021-11-25 00:00:00.0000000,16
0,2021-11-26 00:00:00.0000000,16
0,2021-11-27 00:00:00.0000000,18
0,2021-11-29 00:00:00.0000000,15
0,2021-11-30 00:00:00.0000000,16
0,2021-12-01 00:00:00.0000000,16
0,2021-12-02 00:00:00.0000000,16
0,2021-12-03 00:00:00.0000000,16
0,2021-12-04 00:00:00.0000000,18
0,2021-12-06 00:00:00.0000000,16
0,2021-12-07 00:00:00.0000000,16
0,2021-12-08 00:00:00.0000000,16
0,2021-12-09 00:00:00.0000000,16
0,2021-12-10 00:00:00.0000000,13
0,2021-12-11 00:00:00.0000000,16
0,2021-12-13 00:00:00.0000000,13
0,2021-12-14 00:00:00.0000000,13
0,2021-12-15 00:00:00.0000000,11
0,2021-12-16 00:00:00.0000000,11
0,2021-12-17 00:00:00.0000000,10
0,2021-12-18 00:00:00.0000000,13
0,2021-12-20 00:00:00.0000000,10
0,2021-12-21 00:00:00.0000000,10
0,2021-12-22 00:00:00.0000000,10
0,2021-12-23 00:00:00.0000000,10
0,2021-12-24 00:00:00.0000000,6
0,2021-12-27 00:00:00.0000000,10
0,2021-12-28 00:00:00.0000000,10
0,2021-12-29 00:00:00.0000000,10
0,2021-12-30 00:00:00.0000000,10
0,2021-12-31 00:00:00.0000000,9
0,2022-01-03 00:00:00.0000000,10
0,2022-01-04 00:00:00.0000000,10
0,2022-01-05 00:00:00.0000000,10
0,2022-01-06 00:00:00.0000000,10
0,2022-01-07 00:00:00.0000000,10
0,2022-01-08 00:00:00.0000000,13
0,2022-01-10 00:00:00.0000000,10
0,2022-01-11 00:00:00.0000000,10
0,2022-01-12 00:00:00.0000000,9
